Run,K1,K2,DMg,DCl,Error,Output
1,6.26091,14.965542227516073,0.00602527,0.479442,1.9721476513818414,"[0.0, 0.450496, 0.64591, 0.921252, 1.21475, 1.50072, 1.78635, 1.9084, 2.01767, 2.18319, 2.4015, 2.59983, 2.71736, 2.89696, 3.06126, 3.20302, 3.38221, 3.4786, 3.60129, 3.72496, 3.84329, 4.00734, 4.11651]"
2,5.06095,13.748906345106317,0.00505497,0.538775,1.6672922713845761,"[0.0, 0.450496, 0.601902, 0.81925, 1.07875, 1.23913, 1.50072, 1.76554, 1.8748, 1.93552, 2.08643, 2.21782, 2.42177, 2.58434, 2.71736, 2.83368, 2.97518, 3.08859, 3.20302, 3.31556, 3.47024, 3.56126, 3.6308]"
3,9.8527,12.724605971806522,0.00888925,0.359934,2.854271360122092,"[0.0, 0.585959, 0.921252, 1.3539, 1.76554, 1.93552, 2.18319, 2.49204, 2.73661, 3.01165, 3.20867, 3.45774, 3.61328, 3.86515, 4.06201, 4.18026, 4.40733, 4.61646, 4.79593, 4.9748, 5.14456, 5.31103, 5.43465]"
4,1.56454,9.66884233834754,0.00483496,0.441078,1.5000186845641508,"[0.0, 0.418922, 0.601902, 0.742567, 0.961314, 1.18217, 1.36604, 1.56228, 1.77151, 1.85106, 1.96098, 2.03295, 2.18532, 2.3455, 2.48055, 2.64071, 2.72723, 2.89504, 3.01079, 3.07075, 3.22522, 3.34622, 3.47415]"
5,9.0522,6.068044785926521,0.00217205,0.00322894,0.4302007055645782,"[0.0, 0.335741, 0.372886, 0.450496, 0.535843, 0.601902, 0.615571, 0.64591, 0.745332, 0.818725, 0.934281, 1.01041, 1.13284, 1.19903, 1.2932, 1.2932, 1.44905, 1.51436, 1.53208, 1.67308, 1.74296, 1.82021, 1.85106]"
6,4.93321,9.399026122806614,0.00174055,0.073311,0.23938744649335458,"[0.0, 0.315073, 0.372886, 0.418922, 0.465667, 0.535843, 0.598014, 0.601902, 0.635617, 0.698874, 0.745332, 0.818725, 0.895207, 0.992147, 1.03338, 1.13284, 1.18665, 1.24689, 1.2932, 1.38365, 1.46363, 1.51436, 1.53208]"
7,4.36043,11.689095656133622,0.00794766,0.40946,2.5935181658068673,"[0.0, 0.548152, 0.81925, 1.19377, 1.53093, 1.85106, 2.00244, 2.21782, 2.51655, 2.75102, 2.96378, 3.1572, 3.3663, 3.57272, 3.76654, 3.90474, 4.0873, 4.25727, 4.45503, 4.61646, 4.76454, 4.94517, 5.15125]"
8,8.01344,8.465556831849819,0.00354488,0.178335,0.9201676440656131,"[0.0, 0.372886, 0.465667, 0.601902, 0.64591, 0.745332, 0.918705, 1.06135, 1.21179, 1.2932, 1.4964, 1.54418, 1.73821, 1.82021, 1.88117, 1.96098, 2.0186, 2.06184, 2.1549, 2.30824, 2.36027, 2.49859, 2.57515]"
9,4.9669,10.766439617864934,0.00870815,0.201607,2.680262827742012,"[0.0, 0.567944, 0.83474, 1.22339, 1.56228, 1.85106, 2.0186, 2.24244, 2.51177, 2.78955, 3.01661, 3.20711, 3.45229, 3.66129, 3.78537, 4.00959, 4.22059, 4.37823, 4.51283, 4.7493, 5.00163, 5.18054, 5.28549]"
10,5.96875,12.72404801008907,0.00789521,0.0210877,2.5167412991172515,"[0.0, 0.548152, 0.83474, 1.20236, 1.57017, 1.85106, 2.00244, 2.21782, 2.49204, 2.71736, 2.93841, 3.16118, 3.30561, 3.4917, 3.64279, 3.84329, 4.01991, 4.13195, 4.31415, 4.44806, 4.62988, 4.78863, 4.9748]"
11,7.51112,11.038127178541561,0.00184405,0.5106,0.37974144553509953,"[0.0, 0.315073, 0.372886, 0.450496, 0.465667, 0.567944, 0.601902, 0.635617, 0.698874, 0.758353, 0.86473, 0.961314, 1.01041, 1.11426, 1.19377, 1.27746, 1.33305, 1.46363, 1.50678, 1.56228, 1.6855, 1.77151, 1.83239]"
12,1.15378,13.264272252074994,0.00295006,0.0739797,0.9058229711889673,"[0.0, 0.358414, 0.450496, 0.589847, 0.64591, 0.788001, 0.921252, 1.10029, 1.19377, 1.3539, 1.48135, 1.60653, 1.76554, 1.85106, 1.8748, 1.92143, 2.00244, 2.06229, 2.15123, 2.21782, 2.27329, 2.43458, 2.50597]"
13,3.10455,6.911093125876639,0.00975082,0.156385,2.8746759103378334,"[0.0, 0.601902, 0.931134, 1.36604, 1.77151, 1.96098, 2.18532, 2.46554, 2.71283, 2.98167, 3.17317, 3.44063, 3.6704, 3.80018, 4.05519, 4.28086, 4.38094, 4.57681, 4.80753, 5.04721, 5.21672, 5.40328, 5.55358]"
14,7.20725,11.77559006153376,0.00199727,0.361533,0.5236471297649657,"[0.0, 0.335741, 0.372886, 0.450496, 0.548152, 0.601902, 0.635617, 0.729546, 0.81925, 0.921252, 1.01415, 1.11426, 1.19377, 1.27422, 1.40733, 1.47401, 1.55523, 1.70399, 1.7507, 1.83239, 1.85106, 1.89277, 1.92143]"
15,5.07485,14.338962211882802,0.00415973,0.198209,1.3673774032323305,"[0.0, 0.372886, 0.567944, 0.66652, 0.86473, 1.10029, 1.22339, 1.48135, 1.6743, 1.83239, 1.89277, 1.94936, 2.07526, 2.18319, 2.25311, 2.46193, 2.61881, 2.71736, 2.81614, 2.9257, 3.05455, 3.12782, 3.20302]"
16,7.3573,8.925236779751105,0.000204924,0.433148,0.4259348367724197,"[0.0, 0.259109, 0.284045, 0.301192, 0.301192, 0.301192, 0.301192, 0.301192, 0.315073, 0.315073, 0.315073, 0.315073, 0.335741, 0.335741, 0.335741, 0.335741, 0.346022, 0.346022, 0.360495, 0.372886, 0.372886, 0.372886, 0.372886]"
17,6.19645,6.5029075826001606,0.00343609,0.421605,0.8905872937563508,"[0.0, 0.372886, 0.465667, 0.601902, 0.635617, 0.745332, 0.895207, 1.03338, 1.18665, 1.2932, 1.46363, 1.53208, 1.69892, 1.82021, 1.86902, 1.93776, 1.98809, 2.0186, 2.12832, 2.23757, 2.32941, 2.38627, 2.53103]"
18,9.65458,7.50044231785749,0.00964916,0.183209,2.7554731216887,"[0.0, 0.585959, 0.86473, 1.25848, 1.61816, 1.88117, 2.03295, 2.3455, 2.58796, 2.88507, 3.05322, 3.27247, 3.54054, 3.69338, 3.86334, 4.12607, 4.311, 4.4482, 4.62987, 4.90837, 5.07739, 5.25051, 5.42422]"
19,1.85143,10.826730286915911,0.00012412,0.411193,0.4443239463863099,"[0.0, 0.249646, 0.259109, 0.284045, 0.284045, 0.301192, 0.301192, 0.301192, 0.301192, 0.301192, 0.315073, 0.315073, 0.315073, 0.315073, 0.315073, 0.315073, 0.335741, 0.335741, 0.335741, 0.335741, 0.335741, 0.335741, 0.335741]"
20,6.26945,14.78243033931174,0.0077885,0.183022,2.4819955516771177,"[0.0, 0.548152, 0.81925, 1.19377, 1.55676, 1.85106, 2.00244, 2.21782, 2.46193, 2.70295, 2.86675, 3.08859, 3.28405, 3.4786, 3.60129, 3.83003, 3.9722, 4.11155, 4.26475, 4.40579, 4.58493, 4.70932, 4.89197]"
